Depth-dependent abnormal cortical myelination in first-episode treatment-naïve schizophrenia.,"cortical,myelination,schizophrenia,myelination,interneurons,myelination,myelin,posterior cingulate gyrus,myelin,layer,myelin,association cortex,myelination,pathogenesis,SZ,myelination,schizophrenia,myelination,cortical,symptom,pathogenesis,nervous,parietal lobe,layers,Myelination,central nervous system,IPL,insula,cortex,myelination,FES,layer,supramarginal gyrus,FES,myelin,myelination,schizophrenia,layer,schizophrenia,SZ,superior temporal gyrus",32239735
Mechanistic Target of Rapamycin Regulates the Oligodendrocyte Cytoskeleton during Myelination.,"Oligodendrocyte,Rapamycin,Myelination,Cytoskeleton,myelination,actin depolymerization,mechanistic target of rapamycin,expression,MBP,oligodendrocyte,signaling pathway,Myelination,myelin,CNS,protein,cells,actin polymerizing factors,cellular,localization,cells,axons,protein,myelination,differentiation,axon,myelination,mTOR,mRNA,ARPC3,axon,expression,mice,protein,mRNA transport,cytoskeletal,myelination,myelin basic protein,CNS,cytoskeletal,cellular,differentiation,rapamycin,mTOR,kinesin,actin depolymerization,rat,cells,mRNA,protein,cytoskeletal,myelination,oligodendrocyte,localization,axon,mTOR,rapamycin,cellular process,cofilin,CNS development,oligodendrocyte,inhibition,myelin basic protein,oligodendrocyte,mTOR,mRNA transport,mTOR,cellular localization,actin polymerization,myelin membrane,cellular,cytoskeletal reorganization,mTOR,membrane,mRNA,oligodendrocytes,expression,targeting,differentiation,actin polymerization,oligodendrocytes,mTOR,myelin,mTOR,myelination,myelin,mTOR,myelination,mechanistic target of rapamycin,oligodendrocyte,expression,phalloidin,myelination,myelin,expression,MBP protein,cellular",32139584
Local axonal morphology guides the topography of interneuron myelination in mouse and human neocortex.,"myelination,mouse,neocortex,human,interneuron,joint,interneurons,interneuron,parvalbumin,axon,myelinated,tissue,axon,neocortex,cells,myelination,interneuron,cells,myelination,myelination,interneuron,myelination,myelination,interneurons,human,interneuron,fast,cell,interneuron,Enlargement,axons,cell,myelinated,cerebral cortex,myelination,myelinated,enlargement,cortical,SOM+,myelination",31742557
Voluntary wheel running promotes myelination in the motor cortex through Wnt signaling in mice.,"mice,Wnt signaling,motor cortex,myelination,signaling,proliferation,differentiation,myelination,Wnt signaling pathway,central nervous system,nervous,motor skill,myelination,OLs,5-bromo-2-deoxyuridine,signaling,myelination,behavioral,proliferation,Myelin,mRNA,learning,maturation,oligodendrocytes,motor cortex,Myelin,Oligodendrocyte,central nervous system,myelination,proliferation,nervous,mice,Wnt3a,mice,Wnt3a,myelination,brain,Wnt signaling,myelin,myelination,Wnt9a,BrdU,signaling pathway,differentiation,cells,motor cortex,OLs,myelination",31651333
Differential effect on myelination through abolition of activity-dependent synaptic vesicle release or reduction of overall electrical activity of selected cortical projections in the mouse.,"mouse,electrical activity,vesicle,release,cortical,synaptic vesicle,myelination,myelination,brains,saltatory conduction,brain,release,synapses,vesicle,Cre,striatum,neurons,Cre,axons,corpus callosum,cortical,NoR,node,myelination,cortical,cell,multiple sclerosis,release,SNARE,nervous,release,MBP,sup,Kir2.1,layer,Ntsr1,schizophrenia,Rbp4,utero,oligodendrocytes,myelinated,oligodendrocytes,neuron,major depressive disorder,N-ethylmaleimide fusion protein attachment protein receptor,sup,maturation,excitability,myelin,node of Ranvier,action potentials,Ntsr1,bipolar disorder,embryonic,layer,excitability,corpus callosum,fast,corpus callosum,MBP,spinal cord,soluble N-ethylmaleimide fusion protein attachment protein receptor,release,potassium,Rbp4,myelin basic protein,myelination,Myelination,calcium,cord,axons,Cre,myelination,axons,Kir2.1,expression,myelinated,central nervous system,MBP,protein,oligodendrocyte,brain,Cre,brain development,NoR,utero,myelin,Cre,myelination,NoR,dorsal column,myelination,mouse,protein,neurons",30901089
Motoneuron expression profiling identifies an association between an axonal splice variant of HDGF-related protein 3 and peripheral myelination.,"myelination,HDGF-related protein 3,protein,expression,Motoneuron,myelination,CNS,axons,HRP3-I,Schwann cell,fiber,tracts,expressed,PNS,myelin,HDGFRP3,Overexpression,remyelination,expression,HRP3-I,myelination,growth,myelination,neuron,myelination,overexpression,axons,white matter,motoneurons,myelination,HRP3,demyelination,glial cells,nervous systems,nucleus,localization,HRP3-II,neurons,protein,nuclei,glial,localization,HRP3-II,HRP3-I,hepatoma,development,CNS,growth factor-related protein 3,peripheral neuropathies,cells,myelin formation,axons,HRP3-II,development,glia,PNS,multiple sclerosis,nervous,myelin,HRP3-II,HRP3,neurons,myelination,myelination,nuclei,localization,myelination,HRP3-II,myelination,cell",32647008
Biomimicking Fiber Platform with Tunable Stiffness to Study Mechanotransduction Reveals Stiffness Enhances Oligodendrocyte Differentiation but Impedes Myelination through YAP-Dependent Regulation.,"Stiffness,Regulation,Myelination,Oligodendrocyte Differentiation,Fiber,Stiffness,Oligodendrocyte,myelination,myelination,fiber,stiffness,stiffness,oligodendrocyte,oligodendrocyte differentiation,CNS,inflammation,myelination,oligodendrocyte,differentiation,oligodendrocyte,fiber,oligodendrocyte differentiation,tissue,Yes-associated protein,nervous,axon,stiffness,stiffness,oligodendrocyte,oligodendrocyte,central nervous system,myelination,oligodendrocyte differentiation,oligodendrocyte differentiation,oligodendrocyte,axons,myelination,myelination,scarring,CNS,protein,stiffness,oligodendrocyte",32790058
Genetic influences on cortical myelination in the human brain.,"brain,human,cortical,myelination,myelination,myelination,cortical,cortical,myelination,transcriptional,genetic control,Human Connectome,Brain,cerebral hemisphere,cortical,myelination,genetic control,myelination,Cortical,myelination,myelination,Human,Human,cortical,expression,cortical,cortical,myelination,genetic control,myelination,Atlas,neurodevelopment,myelination,cortical,expression",30394688
Manipulating Neuronal Activity in the Developing Zebrafish Spinal Cord to Investigate Adaptive Myelination.,"Myelination,Spinal Cord,Cord,Zebrafish,myelination,nervous,oligodendrocyte,axons,brain,zebrafish,cell,learning,nervous,neurons,myelination,myelination,nervous system,myelin,cells,myelination,myelinated,cell,cognition,brain activity,myelination,cellular,central nervous system,oligodendrocyte",30820901
SyMRI detects delayed myelination in preterm neonates.,"myelination,tissue,myelination",31286188
