Melatonin attenuates 5-fluorouracil-induced spatial memory and hippocampal neurogenesis impairment in adult rats.,"hippocampal,5-fluorouracil,rats,memory,Melatonin,impairment,neurogenesis,neurogenesis,hippocampal,neurogenesis,memory,5-FU,5-FU,melatonin,hippocampal,5-fluorouracil,impairment,impairment,5-fluorouracil,cognitive deficits,rats,memory,melatonin,hippocampal,neurogenesis",32105705
Dexmedetomidine attenuates ethanol-induced inhibition of hippocampal neurogenesis in neonatal mice.,"ethanol,Dexmedetomidine,inhibition,hippocampal,mice,neurogenesis,EtOH,impaired,hippocampus,Dexmedetomidine,hippocampal,neurogenesis,EtOH,neuronal plasticity,adrenergic agonist,DG,dentate gyrus,DEX,Ethanol,neurogenesis,human,DEX,neurogenesis,hippocampus",31954762
Microglia Actively Remodel Adult Hippocampal Neurogenesis through the Phagocytosis Secretome.,"Hippocampal,Phagocytosis,Microglia,Neurogenesis,cell,phagocytosis,TAM family Mer,phagocytosis,chromatin,MerTK,neurogenesis,phagocytosis,hippocampal,downregulation,neurogenesis,tyrosine,Microglia,expression,microglial,microglia,hippocampal,neurons,mice,MerTK,phagocytosis,MerTK,apoptosis,intracellular,phagocytes,balance,MerTK,hippocampal,hippocampal,microglia,Axl,purinergic receptor P2Y12,Mer tyrosine kinase,pathways,Axl,development,microglia,metabolism,neurogenesis,cells,cell,corpse,neurogenesis,regeneration,microglia,aging,neurogenesis,neurogenesis,corpses,chromatin remodeling,tyrosine kinases,mice,neurogenesis,cell death,receptors P2Y12,proliferation,phagocytosis,transcriptional,neurogenesis,cells,apoptosis,phagocytosis,neurodegenerative diseases,cells,neurogenesis,hippocampal,phagocytosis,brain,mice,neurogenesis",31896673
The Temporal Neurogenesis Patterning of Spinal p3-V3 Interneurons into Divergent Subpopulation Assemblies.,"Neurogenesis,Interneurons,neurogenesis,differentiation,INs,Sim1 transcription factor,INs,INs,neurogenesis,transcription,expressed,neurogenesis,V3 INs,cord,cord,cardinal,neurons,V3 INs,spinal cord,IN,cardinal spinal V3 IN,differentiation,spinal cord,IN,embryonic,V3 INs,neurogenesis,membrane,neurogenesis,mouse spinal cord,V3 INs,pathways,IN,embryonic development,INs,INs,expressed,INs,V3 INs,V3 INs,V3 INs,neurogenesis,INs,IN,development,INs,neurogenesis,Sim1-expressing V3 INs,INs,neurogenesis,V3 INs,interneuron,V3 INs,V3 INs,transcription,INs,mouse,embryonic,embryonic,E10.5] or late-born (E11.5-E12.5,IN,E10.5] or late-born (E11.5-E12.5,V3 INs,Sim1,INs,INs,transcription,Sim1,Interneuron,IN,INs,movement",31826942
Hippocampal Neurogenesis and Neural Circuit Formation in a Cuprizone-Induced Multiple Sclerosis Mouse Model.,"Neurogenesis,Mouse,Multiple Sclerosis,Hippocampal,Formation,neurogenesis,Cognitive impairments,MS,remyelination,Cup,demyelination,cognitive deficits,spine,dentate gyrus,Cup,development,synaptic connectivity,hippocampus,neurogenesis,hippocampal,hippocampal,hippocampal,hippocampal,MS,cognitive deficits,MS,neurogenesis,hippocampus,MS,dendritic spine,neurons,NSCs,synaptic connectivity,demyelination,hippocampus,spine,Cup,proliferation,NSCs,hippocampal,nervous,demyelination,multiple sclerosis,neurogenesis,synaptic connectivity,neurogenesis,NSCs,neural stem cells,central nervous system,hippocampus,synaptic connectivity,dendritic spine,neurons,cognitive impairments,neurogenesis,neurons,hippocampal,proliferation,hippocampus,demyelination,cells,neurons,dendritic spines,hippocampal,glia,remyelination,MS,neurons,demyelination,mice,spines,neurons,neurons,Rap,hippocampal,NSCs,cognitive dysfunctions,neurons,impaired,MS,rapamycin,neurons,NSCs,neurogenesis,Formation,withdrawal,withdrawal,proliferation,hippocampus,Rap,neurons,proliferative",31719166
Postnatal Lipopolysaccharide Exposure Impairs Adult Neurogenesis and Causes Depression-like Behaviors Through Astrocytes Activation Triggering GABAA Receptor Downregulation.,"Lipopolysaccharide,Receptor Downregulation,Astrocytes,Behaviors,Neurogenesis,Depression,agonist,Behavioral,LPS,mice,hippocampal,hippocampal,expression,TAK-242,hippocampal,inhibitor,BrdU,TrkB,astrocytes,toll-like receptor 4,lipopolysaccharide,adverse effects,downregulation,PND,hippocampal,pathway,GABA,neurogenesis,depression,NeuN,cells,neurons,phenobarbital,neurogenesis,behaviors,inflammation,LPS,neurogenesis,pathway,postnatal days,LPS,TrkB,mice,protein,hippocampal,mice,GABA,depression,LPS,hippocampal,GABA,glia,TLR4,NeuN,maturation,behaviors,depression,TLR4,cells,GABAA receptor,astrocytes,mice,LPS,GABA,mice,hippocampus,GABA,GABA,neurogenesis,BrdU,neurogenesis,LPS,behaviors,depression,inflammation,mice,LPS,downregulation,LPS,expression,behaviors",31682957
Nippostrongylus brasiliensis infection inhibits hippocampal neurogenesis in mice.,"mice,hippocampal,infection,Nippostrongylus brasiliensis,neurogenesis,Th2 immune response,hippocampal,Nippostrongylus brasiliensis,neurogenesis,doublecortin/5-bromodeoxyuridine,neurogenesis,Nb,neurogenesis,hippocampal,BrdU,cells,brain,neurogenesis,infection,Neurogenesis,Th2 immune response,expression,reverse transcription,hippocampus,neurogenesis,neurons,immune system,Helminth infection,infection,neurogenesis,brain,neurogenesis,neurogenesis,mice,cells,cells,mice,brain,dentate gyrus,Nb,mice,BrdU,Nb",31502307
Neurogenesis promoted by the CD200/CD200R signaling pathway following treadmill exercise enhances post-stroke functional recovery in rats.,"CD200,functional recovery,Neurogenesis,rats,stroke,signaling pathway,Neurogenesis,CD200,rat,stroke,cognitive deficits,neurogenesis,functional recovery,differentiation,neurogenesis,CD200 receptor,neurogenesis,migration,synaptogenesis,stem,stroke,CD200R,neurons,functional recovery,suppression,progenitor cell,expression,Stroke,CD200R,expression,neurogenesis,functional recovery,stroke,CD200R,angiogenesis,neurogenesis,signaling pathway,neurons,stroke,middle cerebral artery occlusion,CD200R,functional recovery,functional recovery,signaling pathway,agonist,CD200R,CD200,hippocampus,functional recovery,Tnf-α,functional recovery,functional recovery,cortex,cell proliferation,stroke,stroke,CD200,expression",31513876
A combination of running and memantine increases neurogenesis and reduces activation of developmentally-born dentate granule neurons in rats.,"granule,rats,neurons,neurogenesis,memantine,expression,dentate gyrus,memory,Running+memantine,hippocampal,neurogenesis,rats,Fos,neurogenesis,dentate gyrus,neurons,neurogenesis,neurogenesis,memory,memantine,GFAP-TK,memantine,expression,expression,rats,cells,expression,development,separation,dentate gyrus,neurons,Fos,rats,dentate gyrus,cells,Fos,cells,dentate gyrus,BrdU,formation,mouse,neocortex,neurogenesis,dentate gyrus,neurogenesis,neurons,rat,neurons,rats,Fos",31167109
Consistent within-group covariance of septal and temporal hippocampal neurogenesis with behavioral phenotypes for exploration and memory retention across wild and laboratory small rodents.,"hippocampal,memory,retention,behavioral,neurogenesis,mice,neurogenesis,learning,neurogenesis,behavioral,mice,DBA,neurogenesis,neurogenesis,hippocampus,mice,DBA,bank voles,neurogenesis,hippocampal,bank voles,apparatus,learning,neurogenesis,learned,mice,mice,cells,neurogenesis,behavioral,learning,cells,neurons,neurogenesis,hippocampus,learning",31201873
