Leptin Controls Glutamatergic Synaptogenesis and NMDA-Receptor Trafficking via Fyn Kinase Regulation of NR2B.,"NMDA,NMDA-Receptor,Synaptogenesis,Leptin,NR2B,Fyn Kinase,Trafficking,Regulation,Src family kinases,synaptogenesis,NR2B mutant,Src family kinase,signaling pathway,Leptin,NMDA receptors,mice,dominant negative Fyn mutant,dominant negative,Leptin,hippocampus,leptin,adipocytokine/neurotrophic factor leptin,Fyn,central nervous system,phosphorylation,dendritic spine,phosphorylation,brain regions,receptor function,NR2B,mutant,synapse development,leptin receptor,dendritic spine development,NR2B,neurological disorders,synaptogenesis,cognition,expression,N-methyl-D-aspartic acid (NMDA) receptor,kinase inhibitor,synaptogenesis,synaptogenesis,NMDA,Fyn,mutant,Leptin,hippocampus,nervous,phosphorylation,leptin,PP1,leptin,hippocampal,phosphorylation,synapse,leptin,synaptogenesis,neurons",31840160
Leptin stimulates synaptogenesis in hippocampal neurons via KLF4 and SOCS3 inhibition of STAT3 signaling.,"KLF4,Leptin,hippocampal,SOCS3,neurons,inhibition,synaptogenesis,signaling,STAT3,neurons,transcription,synapses,SOCS3,formation,synaptogenesis,STAT3,KLF4,leptin,dendritic spines,SOCS3,leptin,hippocampal,signal transducer and activator of transcription 3,synaptogenesis,KLF4,KLF4,leptin,synaptogenesis,leptin,synaptogenesis,KLF4,formation,neurons,hippocampus,development,KLF4,synaptogenesis,spine,leptin,KLF4,STAT3,STAT3,signaling,expression,STAT3,neurons,hippocampal,binding,SOCS3,development,hippocampal,STAT3,glutamatergic synapses,expression,leptin,neurons,targeted,suppressor of cytokine signaling 3,cytokine leptin,leptin,upregulation,expression,leptin,development,spines,KLF4,neurons,STAT3,Kruppel-Like Factor 4,hippocampal,synaptogenesis,hippocampal,maturation,leptin,leptin,inhibitor",32438059
Transition between synaptic branch formation and synaptogenesis is regulated by the lin-4 microRNA.,"Transition,formation,branch,lin,synaptogenesis,lin-4,LIN-14 transcription factor,growth,LIN,collateral,synaptogenesis,formation,synaptogenesis,lin-4,transcription,PLM,lin,lin-4,branch,synaptogenesis,synaptogenesis,synaptogenesis,lin-4,branch,lin-4,LIN,formation,synaptic vesicle transport,axon,synaptogenesis,branch,transition,synaptic vesicles,synaptogenesis,lin-4,LIN,branch,transition,synaptogenesis,lin,synaptic vesicle,transport,transition,formation,axon,formation,branch,branch,lin,lin,formation,branch,Axonal branch,branch,lin,C. elegans,vesicles",27746167
A Nerve Growth Factor Dipeptide Mimetic Stimulates Neurogenesis and Synaptogenesis in the Hippocampus and Striatum of Adult Rats with Focal Cerebral Ischemia.,"Dipeptide,Hippocampus,Nerve,Rats,Cerebral,Cerebral Ischemia,Growth,Striatum,Neurogenesis,Synaptogenesis,L-glutamyl,possesses,hippocampus,neurogenesis,ischemic stroke,dipeptide,proliferative,side effect,cerebral,brain,NGF,rats,hippocampus,activation of neurogenesis,cerebral ischemia,TrkA receptors,striatum,NGF,synaptogenesis,bis,pathway,PI3K,cerebral ischemia,possesses,dipeptide,nerve growth factor,synaptophysin,neurogenesis,pathways,AKT,PSD-95,synaptogenesis,synaptophysin,middle cerebral artery,synaptophysin,PI3K,neuroprotection,stroke,hyperalgesia,hippocampus,NGF,MAPK,succinyl,NGF loop 4, bis(N-succinyl-L-glutamyl-L-lysine),cerebral,growth,cerebral,Ki67,striatum,immunoreactivity,MAPK cascade,receptor signaling,PSD-95,Trk receptor,occlusion,stroke,synaptogenesis,nerve,neurotrophin,L-lysine,rats,AKT,NGF,cerebral infarct,stroke,striatum,immunoreactivity,gliogenesis,striatum,Ki67,synaptogenesis",31720014
"Nerve, Muscle, and Synaptogenesis.","Synaptogenesis,Muscle,Nerve,synapses,synaptogenesis,mice,transgenic mice,stabilizer,signaling,heparan sulfate proteoglycan,synapse structure,agrin,proteolysis,synapses,synapse,synaptogenesis,skeletal,neuromuscular junction,agrin,innervation,zebrafish,agrin,synaptogenesis,agrin,synapses,synapse formation,skeletal,agrin,NMJ,differentiation,synapse formation,agrin gene,agrin,nerve,synaptogenesis,neuron,synapse,synaptogenesis,synapses,development",31744142
The Adhesion-GPCR BAI1 Promotes Excitatory Synaptogenesis by Coordinating Bidirectional Trans-synaptic Signaling.,"Synaptogenesis,Adhesion,GPCR BAI1,Signaling,BAI1,receptor complex,synaptogenesis,spine,brain,Rac1,spine,BAI1,synapses,synaptogenesis,BAI1,synaptogenic cell-adhesion molecule Neuroligin-1,peptide,differentiation,nervous system development,axons,adhesion,NRLN1,development,Par3-Tiam1 polarity complex,excitatory synapse,spines,spine,development,synapse,adhesion-G protein-coupled receptor BAI1,signaling,BAI1,cytoskeletal,BAI1,cell,mouse brain,BAI1,spine,synaptic organizer NRLN1,Rac1 GTPase,synapse development,signaling,BAI1,GPCR,hippocampal,spines,development,cell,vesicular glutamate transporter 1,extracellular,BAI1,signaling,BAI1,synapse development,BAI1,expression,adhesion-G protein-coupled receptor,cell,Adhesion,storage,utero,adhesion,protein,spines,spine,vGluT1,growth,GPCRs,SIGNIFICANCE STATEMENT</b> Adhesion-G protein-coupled receptors,adhesion,signaling,growth,NRLN1,synapse,synapse development,BAI1,mouse,protein,nervous system,hippocampal,adhesion,BAI1,synaptogenesis,synaptogenic receptor,agonist,protein,synaptogenesis,adhesion,NRLN1,cell,BAI1,NRLN1,spine,dendritic spines,differentiation,neurons,Rac1,synapse,BAI1,NRLN1,postsynaptic cell-adhesion molecule Neuroligin-1,cell,BAI1,cell,BAI1,synapses,dendritic spine,A-GPCR,BAI1,BAI1",30120207
Treatment with the Neurotrophic Protein S100B Increases Synaptogenesis after Traumatic Brain Injury.,"Synaptogenesis,Neurotrophic Protein S100B,Protein,Brain,growth,Bromodeoxyuridine,cell death,brain,nanomolar S100B,signaling,S100B,synaptophysin,BrdU,synaptogenesis,cell proliferation,synaptogenesis,S100B,cell,hippocampal,protein,ED1,S100 calcium-binding protein B,Release,hippocampal,S100B,calcium,proliferation,APP,hippocampal,PBS,S100B,binding,S100B,Sprague-Dawley rats,lateral ventricle,SYN,dUTP,progenitor cell,glial,NeuN,S100B,SYN,bregma,microglial,expression,cellular,Cell proliferation,S100B,differentiation,microglial,glial fibrillary acidic protein,neuroplasticity,glial fibrillary acidic protein [GFAP], S100B,phosphate,phosphate buffered saline,hippocampus,microglial,BrdU,cells,Cell,repair,terminal deoxynucleotidyl transferase dUTP,synaptogenesis",31597524
RLIPostC protects against cerebral ischemia through improved synaptogenesis in rats.,"rats,cerebral ischemia,synaptogenesis,cerebral,synaptogenesis,synaptogenesis,limb,cerebral ischemia,rat,cerebral,stroke",30036110
Thrombospondin receptor α2δ-1 promotes synaptogenesis and spinogenesis via postsynaptic Rac1.,"Rac1,Thrombospondin receptor α2δ-1,synaptogenesis,brain,α2δ-1 mutant,synaptogenesis,synaptogenesis,TSP-α2δ-1,cell,TSP-α2δ-1,calcium channel,synaptogenesis,formation,calcium,excitatory synapse,spine,cortex,mutant,synaptogenesis,secreting,neuronal receptor,pathology,Rac1,synaptogenesis,mouse,epilepsy,autism,Astrocytes,neuropathic pain,synapse,pathogenesis,development,development",30054448
Resveratrol Enhances Neurite Outgrowth and Synaptogenesis Via Sonic Hedgehog Signaling Following Oxygen-Glucose Deprivation/Reoxygenation Injury.,"Resveratrol,Neurite Outgrowth,Synaptogenesis,Neurite,Signaling,Oxygen,Glucose,synaptogenesis,sirtuin (Sirt)1,synaptogenesis,neurite outgrowth,resveratrol,signaling pathway,signaling,Neurite,Neurite outgrowth,neurite,Shh,stroke,Sonic hedgehog,Shh,functional recovery,Resveratrol",28957797
